Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Year
1980-01-01,27.47364715,42.92029462,19.31037465,16.3851292,14.47017943,20.23897604,12.89682168,29.39401069,8.228573298,15.83276973,20.60655934,18.69053627,11.82880471,20.32200327,33.52960695,20.29947949,28.66941062,28.34783674,45.66650117,12.96651473,15.96716737,13.50758216,19.38509087,17.48175161,18.8777073,21.23711428,25.72105099,19.19737106,27.60946416,13.84820115,15.04446904,34.30966199,12.6299081,19.09989158,38.99333978,25.41611015,25.41576727,10.70503139,24.80796207,8.811982335,17.58861238,16.77933109,21.91269472,36.02344332,24.40471682,8.991685694,15.25546112,13.97181792,52.51040134,17.33341998,86.64676102,1980
1981-01-01,26.47386051,40.77593181,21.31307718,18.7241873,13.76149974,19.41622453,11.32547591,27.42098285,7.365016536,15.30965413,20.38948838,16.63477797,10.55363894,18.7150207,32.74050672,20.11526756,27.08901258,28.12262599,44.98634445,12.67990674,14.82575803,12.72789003,18.46164632,16.30357128,17.77828067,20.64714026,23.51217463,18.00556379,28.16199734,12.28909278,14.5201354,33.06508276,11.71703406,18.8949259,40.83454397,24.83402795,25.88485655,11.1834646,22.89473849,8.14947408,17.53364937,15.80705714,21.48234957,34.69188383,22.28111364,8.659187406,14.38413118,13.9201689,53.22400141,16.56800021,91.59714488,1981
1982-01-01,23.16618382,53.14690215,20.233271,18.62163566,12.03761988,19.26357371,11.29168017,24.5380691,8.176018541,13.37197838,19.48625446,14.99927131,10.00944177,17.84116151,29.65816816,19.87370294,26.34149071,26.73148101,40.59998649,15.32550129,14.28304711,13.22364338,17.35993653,15.77151301,17.76645264,20.52315789,20.34848208,18.20568822,28.7610944,11.84417817,14.74984742,33.12154864,11.11967357,17.98667184,43.12231571,22.88154178,26.44103087,10.85577525,20.3397772,7.797940463,16.32458056,16.4884507,18.98562222,31.68254117,20.67932509,7.81045769,13.61903116,12.84043349,49.14589316,16.31208975,91.90163389,1982
1983-01-01,22.8556159,53.11776154,18.24231122,20.42461499,11.5724367,18.23855045,10.99846861,29.20956095,7.950886666,13.59457978,20.47200124,14.71657359,9.808306756,18.44971886,30.89245986,19.5994008,26.0513272,27.20434184,38.22909333,11.62917859,14.47613839,12.64617442,17.13429803,15.27685342,16.66188906,20.76268677,20.43399025,18.88419158,27.95319914,11.7042503,14.87899244,34.91488848,10.0665808,17.72287198,44.45769886,21.87516205,25.95454254,9.691465079,20.79389599,8.033404791,15.37002433,15.00983229,20.34348653,30.99020935,21.00658789,8.434161445,13.88284115,11.70034656,50.08039168,16.67670223,82.63131699,1983
1984-01-01,24.12085889,55.70215306,19.08215082,19.38945032,12.20775453,19.22099967,11.93915598,30.11891375,8.275447623,13.01779314,22.282503,15.40969289,9.841223267,18.10927814,33.93602618,19.87721841,29.16137563,28.42157429,39.837172,13.12417664,15.74408295,13.72912843,17.93470889,16.32389953,17.25886523,21.37020664,25.14059754,19.88872578,28.62464913,13.3483036,15.60230376,32.46042113,10.31566877,17.72748483,50.56201131,22.53866444,26.56561911,10.23206122,22.23024954,8.807511231,16.24062009,15.51213359,21.08378295,31.69151682,22.09391161,9.431609142,14.70998935,13.11744535,54.71470756,17.11620013,91.79080982,1984
1985-01-01,25.58071977,54.48161791,19.18279992,21.12020614,12.12587814,19.17274908,11.82977936,28.10567738,7.460425827,13.42249044,22.9097392,16.3604483,9.989216469,17.41380745,33.5035332,20.44144288,28.04543468,29.15046465,37.39723309,12.70145876,14.69418789,13.5033391,18.369893,15.92327417,16.88970778,20.13284597,26.94056846,19.27322828,24.67942189,13.3016918,14.82966067,32.42698257,10.56202861,17.14356431,56.45683812,22.4691785,25.72512692,10.05667099,21.31992921,8.739891895,16.37053445,15.81828066,21.88719794,31.52057925,22.44494826,9.767863026,14.42179623,13.533741,53.59534475,16.9904771,101.0499533,1985
1986-01-01,25.47096942,57.71556823,17.01325441,21.44395854,11.31554123,18.76141557,12.26200435,27.31187772,8.156991201,14.00421752,21.58604062,15.82600169,9.89520586,17.23859976,32.70714947,20.25707702,26.79316284,30.08467702,39.54459024,15.88328017,14.83700044,14.36297507,18.66966729,15.27105593,17.25012684,19.66981905,28.88067306,18.38721644,27.63882112,13.61021689,14.9844183,29.5118746,10.69347594,17.79711997,58.15448052,22.86489181,23.93431356,9.838914645,20.88073049,9.741146804,16.25714635,15.32479948,22.09231379,30.70236642,21.58116693,9.466457401,15.01483987,13.60900901,54.00973487,16.88763649,87.04929216,1986
1987-01-01,25.82211956,55.19417531,16.40428608,20.09595841,12.09036013,18.83457722,12.23483594,28.13056288,7.849961552,14.50451192,22.04293093,15.67845714,10.20294975,16.87718188,33.74070589,21.10255659,27.97162481,30.61003137,40.5290398,14.71352238,15.5900784,14.4195438,18.93309195,16.15702796,17.893915,20.06351916,29.25169642,19.21153482,26.84602809,14.43778603,15.47252555,31.34365606,11.28165458,16.80410434,59.771642,22.99171549,25.68945147,10.23777752,21.75918175,9.939146843,17.20168565,13.51510692,21.66324359,31.03460595,26.5408911,10.08677833,15.81368546,14.65019986,54.90106755,17.13433177,111.7265935,1987
1988-01-01,26.07966814,55.77530885,16.85437187,21.7542685,12.10526446,19.54748343,12.91190918,28.56909234,7.782428739,14.94469,22.02779976,18.18501541,10.74804684,17.30352132,35.53287377,22.57631568,28.72101844,33.40053348,42.73886636,16.97479305,15.91073222,14.27123066,19.61350202,17.92037495,19.11805483,20.72867548,35.80494844,21.66095079,29.20617194,14.47041172,15.17009494,32.26104367,11.64643381,17.2636459,67.87137148,23.82757328,27.07974093,10.76204899,22.74132268,10.37834784,18.0181343,16.4479056,22.07593463,32.80379896,30.58305335,10.40905221,16.07461439,15.15120107,58.39807247,17.92083634,119.3584084,1988
1989-01-01,27.25827654,60.88353838,18.08032118,21.87534807,12.30010351,19.83591553,13.32179746,27.01454947,8.076655718,14.89063688,20.92767105,18.71330604,11.2431166,16.95074465,36.10996207,22.60611305,27.80506034,32.40596124,44.12825333,15.67510354,16.36266173,14.81039689,19.22841036,18.43615821,17.86775712,20.74284074,36.31896101,20.62008998,27.62694562,14.36186347,15.74032635,33.48321303,11.89244577,17.64233771,68.35303409,23.77609826,27.67376483,10.95750601,22.94658224,9.243025174,17.6042952,16.78011991,21.22455438,33.65263948,30.6364935,10.09297222,16.35490534,15.25793505,60.63963506,17.92178668,117.0637486,1989
