Indicator,Country,Year,Tax (% of GDP
Taxes on Pollution,Iceland,1995,0.29
Taxes on Pollution,Iceland,1996,0.3
Taxes on Pollution,Iceland,1997,0.3
Taxes on Pollution,Iceland,1998,0.36
Taxes on Pollution,Iceland,1999,0.4
Taxes on Pollution,Iceland,2000,0.4
Taxes on Pollution,Iceland,2001,0.4
Taxes on Pollution,Iceland,2002,0.18
Taxes on Pollution,Iceland,2003,0.24
Taxes on Pollution,Iceland,2004,0.29
Taxes on Pollution,Iceland,2005,0.29
Taxes on Pollution,Iceland,2006,0.3
Taxes on Pollution,Iceland,2007,0.3
Taxes on Pollution,Iceland,2008,0.3
Taxes on Pollution,Iceland,2009,0.31
Taxes on Pollution,Iceland,2010,0.31
Taxes on Pollution,Iceland,2011,0.33
Taxes on Pollution,Iceland,2012,0.32
Taxes on Pollution,Iceland,2013,0.31
Taxes on Pollution,Iceland,2014,0.32
Taxes on Pollution,Iceland,2015,0.31
Taxes on Pollution,Iceland,2016,0.33
Taxes on Pollution,Iceland,2017,0.34
Taxes on Pollution,Iceland,2018,0.18
Taxes on Pollution,Iceland,2019,0.19
Taxes on Pollution,Iceland,2020,0.2
Taxes on Resources,Iceland,2006,0
Taxes on Resources,Iceland,2008,0
Taxes on Resources,Iceland,2009,0
Taxes on Resources,Iceland,2010,0
Taxes on Resources,Iceland,2014,0
Taxes on Resources,Iceland,2015,0
Taxes on Resources,Iceland,2016,0
Taxes on Resources,Iceland,2017,0
Taxes on Resources,Iceland,2018,0
Taxes on Resources,Iceland,2019,0
Taxes on Resources,Iceland,2020,0.01
Taxes on Transport (excluding fuel for transport),Iceland,1995,1.3
Taxes on Transport (excluding fuel for transport),Iceland,1996,1.49
Taxes on Transport (excluding fuel for transport),Iceland,1997,1.51
Taxes on Transport (excluding fuel for transport),Iceland,1998,2.15
Taxes on Transport (excluding fuel for transport),Iceland,1999,2.24
Taxes on Transport (excluding fuel for transport),Iceland,2000,2.04
Taxes on Transport (excluding fuel for transport),Iceland,2001,1.58
Taxes on Transport (excluding fuel for transport),Iceland,2002,1.5
Taxes on Transport (excluding fuel for transport),Iceland,2003,1.73
Taxes on Transport (excluding fuel for transport),Iceland,2004,1.78
Taxes on Transport (excluding fuel for transport),Iceland,2005,1.89
Taxes on Transport (excluding fuel for transport),Iceland,2006,1.38
Taxes on Transport (excluding fuel for transport),Iceland,2007,1.34
Taxes on Transport (excluding fuel for transport),Iceland,2008,0.89
Taxes on Transport (excluding fuel for transport),Iceland,2009,0.56
Taxes on Transport (excluding fuel for transport),Iceland,2010,0.59
Taxes on Transport (excluding fuel for transport),Iceland,2011,0.6
Taxes on Transport (excluding fuel for transport),Iceland,2012,0.66
Taxes on Transport (excluding fuel for transport),Iceland,2013,0.6
Taxes on Transport (excluding fuel for transport),Iceland,2014,0.63
Taxes on Transport (excluding fuel for transport),Iceland,2015,0.66
Taxes on Transport (excluding fuel for transport),Iceland,2016,0.71
Taxes on Transport (excluding fuel for transport),Iceland,2017,0.77
Taxes on Transport (excluding fuel for transport),Iceland,2018,0.71
Taxes on Transport (excluding fuel for transport),Iceland,2019,0.56
Taxes on Transport (excluding fuel for transport),Iceland,2020,0.51
Environmental Taxes,Ireland,1995,2.95
Environmental Taxes,Ireland,1996,2.99
Environmental Taxes,Ireland,1997,2.9
Environmental Taxes,Ireland,1998,2.89
Environmental Taxes,Ireland,1999,2.92
Environmental Taxes,Ireland,2000,2.74
Environmental Taxes,Ireland,2001,2.28
Environmental Taxes,Ireland,2002,2.27
Environmental Taxes,Ireland,2003,2.27
Environmental Taxes,Ireland,2004,2.45
Environmental Taxes,Ireland,2005,2.48
Environmental Taxes,Ireland,2006,2.42
Environmental Taxes,Ireland,2007,2.45
Environmental Taxes,Ireland,2008,2.3
Environmental Taxes,Ireland,2009,2.26
Environmental Taxes,Ireland,2010,2.44
Environmental Taxes,Ireland,2011,2.45
Environmental Taxes,Ireland,2012,2.38
Environmental Taxes,Ireland,2013,2.48
Environmental Taxes,Ireland,2014,2.39
Environmental Taxes,Ireland,2015,1.92
Environmental Taxes,Ireland,2016,1.88
Environmental Taxes,Ireland,2017,1.68
Environmental Taxes,Ireland,2018,1.56
Environmental Taxes,Ireland,2019,1.39
Environmental Taxes,Ireland,2020,1.2
Taxes on Energy (including fuel for transport),Ireland,1995,1.68
Taxes on Energy (including fuel for transport),Ireland,1996,1.68
Taxes on Energy (including fuel for transport),Ireland,1997,1.64
Taxes on Energy (including fuel for transport),Ireland,1998,1.62
Taxes on Energy (including fuel for transport),Ireland,1999,1.55
Taxes on Energy (including fuel for transport),Ireland,2000,1.37
Taxes on Energy (including fuel for transport),Ireland,2001,1.18
Taxes on Energy (including fuel for transport),Ireland,2002,1.23
Taxes on Energy (including fuel for transport),Ireland,2003,1.21
Taxes on Energy (including fuel for transport),Ireland,2004,1.33
Taxes on Energy (including fuel for transport),Ireland,2005,1.3
Taxes on Energy (including fuel for transport),Ireland,2006,1.22
Taxes on Energy (including fuel for transport),Ireland,2007,1.14
Taxes on Energy (including fuel for transport),Ireland,2008,1.2
Taxes on Energy (including fuel for transport),Ireland,2009,1.34
Taxes on Energy (including fuel for transport),Ireland,2010,1.5
Taxes on Energy (including fuel for transport),Ireland,2011,1.57
Taxes on Energy (including fuel for transport),Ireland,2012,1.5
Taxes on Energy (including fuel for transport),Ireland,2013,1.52
Taxes on Energy (including fuel for transport),Ireland,2014,1.44
Taxes on Energy (including fuel for transport),Ireland,2015,1.18
Taxes on Energy (including fuel for transport),Ireland,2016,1.15
Taxes on Energy (including fuel for transport),Ireland,2017,1.02
Taxes on Energy (including fuel for transport),Ireland,2018,0.96
Taxes on Energy (including fuel for transport),Ireland,2019,0.82
Taxes on Energy (including fuel for transport),Ireland,2020,0.74
Taxes on Pollution,Ireland,1995,0
Taxes on Pollution,Ireland,1996,0
Taxes on Pollution,Ireland,1997,0
Taxes on Pollution,Ireland,1998,0
Taxes on Pollution,Ireland,1999,0
Taxes on Pollution,Ireland,2000,0
Taxes on Pollution,Ireland,2001,0
Taxes on Pollution,Ireland,2002,0.02
Taxes on Pollution,Ireland,2003,0.03
Taxes on Pollution,Ireland,2004,0.03
Taxes on Pollution,Ireland,2005,0.03
Taxes on Pollution,Ireland,2006,0.03
Taxes on Pollution,Ireland,2007,0.03
Taxes on Pollution,Ireland,2008,0.03
Taxes on Pollution,Ireland,2009,0.03
Taxes on Pollution,Ireland,2010,0.04
Taxes on Pollution,Ireland,2011,0.04
Taxes on Pollution,Ireland,2012,0.04
Taxes on Pollution,Ireland,2013,0.03
Taxes on Pollution,Ireland,2014,0.02
Taxes on Pollution,Ireland,2015,0.02
Taxes on Pollution,Ireland,2016,0.02
Taxes on Pollution,Ireland,2017,0.01
Taxes on Pollution,Ireland,2018,0.01
Taxes on Pollution,Ireland,2019,0
Taxes on Pollution,Ireland,2020,0
Taxes on Resources,Ireland,1995,0
Taxes on Resources,Ireland,1996,0
Taxes on Resources,Ireland,1997,0
Taxes on Resources,Ireland,1998,0
Taxes on Resources,Ireland,1999,0
Taxes on Resources,Ireland,2000,0
Taxes on Resources,Ireland,2001,0
Taxes on Resources,Ireland,2002,0
Taxes on Resources,Ireland,2003,0
Taxes on Resources,Ireland,2004,0
Taxes on Resources,Ireland,2005,0
Taxes on Resources,Ireland,2006,0
Taxes on Resources,Ireland,2007,0
Taxes on Resources,Ireland,2008,0
Taxes on Resources,Ireland,2009,0
Taxes on Resources,Ireland,2010,0
Taxes on Resources,Ireland,2011,0
Taxes on Resources,Ireland,2012,0
Taxes on Resources,Ireland,2013,0
Taxes on Resources,Ireland,2014,0
Taxes on Resources,Ireland,2015,0
Taxes on Resources,Ireland,2016,0
Taxes on Resources,Ireland,2017,0
Taxes on Resources,Ireland,2018,0
Taxes on Resources,Ireland,2019,0
Taxes on Resources,Ireland,2020,0
Taxes on Transport (excluding fuel for transport),Ireland,1995,1.27
Taxes on Transport (excluding fuel for transport),Ireland,1996,1.31
Taxes on Transport (excluding fuel for transport),Ireland,1997,1.26
Taxes on Transport (excluding fuel for transport),Ireland,1998,1.26
Taxes on Transport (excluding fuel for transport),Ireland,1999,1.38
Taxes on Transport (excluding fuel for transport),Ireland,2000,1.37
Taxes on Transport (excluding fuel for transport),Ireland,2001,1.1
Taxes on Transport (excluding fuel for transport),Ireland,2002,1.02
Taxes on Transport (excluding fuel for transport),Ireland,2003,1.03
Taxes on Transport (excluding fuel for transport),Ireland,2004,1.09
Taxes on Transport (excluding fuel for transport),Ireland,2005,1.15
Taxes on Transport (excluding fuel for transport),Ireland,2006,1.18
Taxes on Transport (excluding fuel for transport),Ireland,2007,1.28
Taxes on Transport (excluding fuel for transport),Ireland,2008,1.07
Taxes on Transport (excluding fuel for transport),Ireland,2009,0.89
Taxes on Transport (excluding fuel for transport),Ireland,2010,0.91
Taxes on Transport (excluding fuel for transport),Ireland,2011,0.85
Taxes on Transport (excluding fuel for transport),Ireland,2012,0.84
Taxes on Transport (excluding fuel for transport),Ireland,2013,0.93
Taxes on Transport (excluding fuel for transport),Ireland,2014,0.92
Taxes on Transport (excluding fuel for transport),Ireland,2015,0.72
Taxes on Transport (excluding fuel for transport),Ireland,2016,0.71
Taxes on Transport (excluding fuel for transport),Ireland,2017,0.65
Taxes on Transport (excluding fuel for transport),Ireland,2018,0.59
Taxes on Transport (excluding fuel for transport),Ireland,2019,0.56
Taxes on Transport (excluding fuel for transport),Ireland,2020,0.47
Environmental Taxes,Israel,2015,2.773856887
Environmental Taxes,Israel,2016,3.061752036
Environmental Taxes,Israel,2017,2.68925508
Environmental Taxes,Israel,2018,2.675391843
Environmental Taxes,Israel,2019,2.589068613
Environmental Taxes,Israel,2020,2.370940122
Taxes on Energy (including fuel for transport),Israel,2015,1.548121501
Taxes on Energy (including fuel for transport),Israel,2016,1.512536687
Taxes on Energy (including fuel for transport),Israel,2017,1.525390319
Taxes on Energy (including fuel for transport),Israel,2018,1.421533788
Taxes on Energy (including fuel for transport),Israel,2019,1.380788671
Taxes on Energy (including fuel for transport),Israel,2020,1.230431049
Taxes on Pollution,Israel,2015,0.064981694
Taxes on Pollution,Israel,2016,0.066668877
Taxes on Pollution,Israel,2017,0.064457886
Taxes on Pollution,Israel,2018,0.064584265
Taxes on Pollution,Israel,2019,0.062616608
Taxes on Pollution,Israel,2020,0.064690543
Taxes on Resources,Israel,2015,0.000191243
Taxes on Resources,Israel,2016,0.000300972
Taxes on Resources,Israel,2017,0.000244057
Taxes on Resources,Israel,2018,0.000224996
Taxes on Resources,Israel,2019,0.000323528
Taxes on Resources,Israel,2020,0.000467701
Taxes on Transport (excluding fuel for transport),Israel,2015,1.160562449
Taxes on Transport (excluding fuel for transport),Israel,2016,1.482245501
Taxes on Transport (excluding fuel for transport),Israel,2017,1.099162817
Taxes on Transport (excluding fuel for transport),Israel,2018,1.189048794
Taxes on Transport (excluding fuel for transport),Israel,2019,1.145339807
Taxes on Transport (excluding fuel for transport),Israel,2020,1.07535083
Environmental Taxes,Italy,1995,3.58
Environmental Taxes,Italy,1996,3.46
Environmental Taxes,Italy,1997,3.48
Environmental Taxes,Italy,1998,3.33
Environmental Taxes,Italy,1999,3.39
Environmental Taxes,Italy,2000,3.09
Environmental Taxes,Italy,2001,2.96
Environmental Taxes,Italy,2002,2.94
Environmental Taxes,Italy,2003,3
Environmental Taxes,Italy,2004,2.85
Environmental Taxes,Italy,2005,2.91
Environmental Taxes,Italy,2006,2.88
Environmental Taxes,Italy,2007,2.73
Environmental Taxes,Italy,2008,2.58
Environmental Taxes,Italy,2009,2.81
Environmental Taxes,Italy,2010,2.82
Environmental Taxes,Italy,2011,3.06
Environmental Taxes,Italy,2012,3.5
Environmental Taxes,Italy,2013,3.45
Environmental Taxes,Italy,2014,3.6
Environmental Taxes,Italy,2015,3.42
Environmental Taxes,Italy,2016,3.54
Environmental Taxes,Italy,2017,3.32
Environmental Taxes,Italy,2018,3.34
Environmental Taxes,Italy,2019,3.29
Environmental Taxes,Italy,2020,3.08
Taxes on Energy (including fuel for transport),Italy,1995,3.01
Taxes on Energy (including fuel for transport),Italy,1996,2.89
Taxes on Energy (including fuel for transport),Italy,1997,2.87
Taxes on Energy (including fuel for transport),Italy,1998,2.73
Taxes on Energy (including fuel for transport),Italy,1999,2.77
Taxes on Energy (including fuel for transport),Italy,2000,2.46
Taxes on Energy (including fuel for transport),Italy,2001,2.33
Taxes on Energy (including fuel for transport),Italy,2002,2.34
Taxes on Energy (including fuel for transport),Italy,2003,2.38
Taxes on Energy (including fuel for transport),Italy,2004,2.25
Taxes on Energy (including fuel for transport),Italy,2005,2.3
Taxes on Energy (including fuel for transport),Italy,2006,2.27
Taxes on Energy (including fuel for transport),Italy,2007,2.11
Taxes on Energy (including fuel for transport),Italy,2008,1.97
Taxes on Energy (including fuel for transport),Italy,2009,2.2
Taxes on Energy (including fuel for transport),Italy,2010,2.2
Taxes on Energy (including fuel for transport),Italy,2011,2.43
Taxes on Energy (including fuel for transport),Italy,2012,2.82
Taxes on Energy (including fuel for transport),Italy,2013,2.79
Taxes on Energy (including fuel for transport),Italy,2014,2.94
Taxes on Energy (including fuel for transport),Italy,2015,2.75
Taxes on Energy (including fuel for transport),Italy,2016,2.85
Taxes on Energy (including fuel for transport),Italy,2017,2.65
Taxes on Energy (including fuel for transport),Italy,2018,2.66
Taxes on Energy (including fuel for transport),Italy,2019,2.62
Taxes on Energy (including fuel for transport),Italy,2020,2.43
Taxes on Pollution,Italy,1995,0.05
Taxes on Pollution,Italy,1996,0.08
Taxes on Pollution,Italy,1997,0.13
Taxes on Pollution,Italy,1998,0.13
Taxes on Pollution,Italy,1999,0.09
Taxes on Pollution,Italy,2000,0.09
Taxes on Pollution,Italy,2001,0.09
Taxes on Pollution,Italy,2002,0.05
Taxes on Pollution,Italy,2003,0.05
Taxes on Pollution,Italy,2004,0.05
Taxes on Pollution,Italy,2005,0.05
Taxes on Pollution,Italy,2006,0.05
Taxes on Pollution,Italy,2007,0.05
Taxes on Pollution,Italy,2008,0.06
Taxes on Pollution,Italy,2009,0.06
Taxes on Pollution,Italy,2010,0.07
Taxes on Pollution,Italy,2011,0.07
Taxes on Pollution,Italy,2012,0.07
Taxes on Pollution,Italy,2013,0.06
Taxes on Pollution,Italy,2014,0.06
Taxes on Pollution,Italy,2015,0.07
Taxes on Pollution,Italy,2016,0.07
Taxes on Pollution,Italy,2017,0.07
Taxes on Pollution,Italy,2018,0.07
Taxes on Pollution,Italy,2019,0.07
Taxes on Pollution,Italy,2020,0.08
Taxes on Resources,Italy,1995,0
Taxes on Resources,Italy,1996,0
Taxes on Resources,Italy,1997,0
Taxes on Resources,Italy,1998,0
Taxes on Resources,Italy,1999,0
Taxes on Resources,Italy,2000,0
Taxes on Resources,Italy,2001,0
Taxes on Resources,Italy,2002,0
Taxes on Resources,Italy,2003,0
Taxes on Resources,Italy,2004,0
Taxes on Resources,Italy,2005,0
Taxes on Resources,Italy,2006,0
Taxes on Resources,Italy,2007,0
Taxes on Resources,Italy,2008,0
Taxes on Resources,Italy,2009,0
Taxes on Resources,Italy,2010,0
Taxes on Resources,Italy,2011,0
Taxes on Resources,Italy,2012,0
Taxes on Resources,Italy,2013,0
Taxes on Resources,Italy,2014,0
Taxes on Resources,Italy,2015,0
Taxes on Resources,Italy,2016,0
Taxes on Resources,Italy,2017,0
Taxes on Resources,Italy,2018,0
Taxes on Resources,Italy,2019,0
Taxes on Resources,Italy,2020,0
Taxes on Transport (excluding fuel for transport),Italy,1995,0.52
Taxes on Transport (excluding fuel for transport),Italy,1996,0.49
Taxes on Transport (excluding fuel for transport),Italy,1997,0.48
Taxes on Transport (excluding fuel for transport),Italy,1998,0.48
Taxes on Transport (excluding fuel for transport),Italy,1999,0.54
Taxes on Transport (excluding fuel for transport),Italy,2000,0.54
Taxes on Transport (excluding fuel for transport),Italy,2001,0.55
Taxes on Transport (excluding fuel for transport),Italy,2002,0.55
Taxes on Transport (excluding fuel for transport),Italy,2003,0.57
Taxes on Transport (excluding fuel for transport),Italy,2004,0.55
Taxes on Transport (excluding fuel for transport),Italy,2005,0.56
Taxes on Transport (excluding fuel for transport),Italy,2006,0.56
Taxes on Transport (excluding fuel for transport),Italy,2007,0.57
Taxes on Transport (excluding fuel for transport),Italy,2008,0.56
Taxes on Transport (excluding fuel for transport),Italy,2009,0.56
Taxes on Transport (excluding fuel for transport),Italy,2010,0.55
Taxes on Transport (excluding fuel for transport),Italy,2011,0.57
Taxes on Transport (excluding fuel for transport),Italy,2012,0.61
Taxes on Transport (excluding fuel for transport),Italy,2013,0.6
Taxes on Transport (excluding fuel for transport),Italy,2014,0.59
Taxes on Transport (excluding fuel for transport),Italy,2015,0.6
Taxes on Transport (excluding fuel for transport),Italy,2016,0.62
Taxes on Transport (excluding fuel for transport),Italy,2017,0.6
Taxes on Transport (excluding fuel for transport),Italy,2018,0.61
Taxes on Transport (excluding fuel for transport),Italy,2019,0.6
Taxes on Transport (excluding fuel for transport),Italy,2020,0.57
Environmental Taxes,Jamaica,1995,0.52
Environmental Taxes,Jamaica,1996,0.48
Environmental Taxes,Jamaica,1997,0.4
Environmental Taxes,Jamaica,1998,0.7
Environmental Taxes,Jamaica,1999,0.72
Environmental Taxes,Jamaica,2000,0.71
Environmental Taxes,Jamaica,2001,0.68
Environmental Taxes,Jamaica,2002,0.51
Environmental Taxes,Jamaica,2003,0.38
Environmental Taxes,Jamaica,2004,0.31
Environmental Taxes,Jamaica,2005,0.41
Environmental Taxes,Jamaica,2006,0.38
Environmental Taxes,Jamaica,2007,0.36
Environmental Taxes,Jamaica,2008,0.33
Environmental Taxes,Jamaica,2009,0.32
Environmental Taxes,Jamaica,2010,0.46
Environmental Taxes,Jamaica,2011,0.56
Environmental Taxes,Jamaica,2012,0.52
Environmental Taxes,Jamaica,2013,0.77
Environmental Taxes,Jamaica,2014,0.78
Environmental Taxes,Jamaica,2015,0.78
Environmental Taxes,Jamaica,2016,0.89
Environmental Taxes,Jamaica,2017,1.19
Environmental Taxes,Jamaica,2018,1.21
Environmental Taxes,Jamaica,2019,1.27
Environmental Taxes,Jamaica,2020,0.7
Taxes on Pollution,Jamaica,1995,0
Taxes on Pollution,Jamaica,1996,0
Taxes on Pollution,Jamaica,1997,0
Taxes on Pollution,Jamaica,1998,0
Taxes on Pollution,Jamaica,1999,0
Taxes on Pollution,Jamaica,2000,0
Taxes on Pollution,Jamaica,2001,0
Taxes on Pollution,Jamaica,2002,0
Taxes on Pollution,Jamaica,2003,0
Taxes on Pollution,Jamaica,2004,0
Taxes on Pollution,Jamaica,2005,0
Taxes on Pollution,Jamaica,2006,0
Taxes on Pollution,Jamaica,2007,0
Taxes on Pollution,Jamaica,2008,0
Taxes on Pollution,Jamaica,2009,0
Taxes on Pollution,Jamaica,2010,0
Taxes on Pollution,Jamaica,2011,0
Taxes on Pollution,Jamaica,2012,0
Taxes on Pollution,Jamaica,2013,0
Taxes on Pollution,Jamaica,2014,0
Taxes on Pollution,Jamaica,2015,0
Taxes on Pollution,Jamaica,2016,0
Taxes on Pollution,Jamaica,2017,0
Taxes on Pollution,Jamaica,2018,0
Taxes on Pollution,Jamaica,2019,0
Taxes on Pollution,Jamaica,2020,0
Taxes on Resources,Jamaica,1995,0
Taxes on Resources,Jamaica,1996,0
Taxes on Resources,Jamaica,1997,0
Taxes on Resources,Jamaica,1998,0
Taxes on Resources,Jamaica,1999,0
Taxes on Resources,Jamaica,2000,0
Taxes on Resources,Jamaica,2001,0
Taxes on Resources,Jamaica,2002,0
Taxes on Resources,Jamaica,2003,0
Taxes on Resources,Jamaica,2004,0
Taxes on Resources,Jamaica,2005,0
Taxes on Resources,Jamaica,2006,0
Taxes on Resources,Jamaica,2007,0
Taxes on Resources,Jamaica,2008,0
Taxes on Resources,Jamaica,2009,0
Taxes on Resources,Jamaica,2010,0
Taxes on Resources,Jamaica,2011,0
Taxes on Resources,Jamaica,2012,0
Taxes on Resources,Jamaica,2013,0
Taxes on Resources,Jamaica,2014,0
Taxes on Resources,Jamaica,2015,0
Taxes on Resources,Jamaica,2016,0
Taxes on Resources,Jamaica,2017,0
Taxes on Resources,Jamaica,2018,0
Taxes on Resources,Jamaica,2019,0
Taxes on Resources,Jamaica,2020,0
Taxes on Transport (excluding fuel for transport),Jamaica,1995,0.52
Taxes on Transport (excluding fuel for transport),Jamaica,1996,0.48
Taxes on Transport (excluding fuel for transport),Jamaica,1997,0.4
Taxes on Transport (excluding fuel for transport),Jamaica,1998,0.7
Taxes on Transport (excluding fuel for transport),Jamaica,1999,0.72
Taxes on Transport (excluding fuel for transport),Jamaica,2000,0.71
Taxes on Transport (excluding fuel for transport),Jamaica,2001,0.68
Taxes on Transport (excluding fuel for transport),Jamaica,2002,0.51
Taxes on Transport (excluding fuel for transport),Jamaica,2003,0.38
Taxes on Transport (excluding fuel for transport),Jamaica,2004,0.31
Taxes on Transport (excluding fuel for transport),Jamaica,2005,0.41
Taxes on Transport (excluding fuel for transport),Jamaica,2006,0.38
Taxes on Transport (excluding fuel for transport),Jamaica,2007,0.36
Taxes on Transport (excluding fuel for transport),Jamaica,2008,0.33
Taxes on Transport (excluding fuel for transport),Jamaica,2009,0.32
Taxes on Transport (excluding fuel for transport),Jamaica,2010,0.46
Taxes on Transport (excluding fuel for transport),Jamaica,2011,0.56
Taxes on Transport (excluding fuel for transport),Jamaica,2012,0.52
Taxes on Transport (excluding fuel for transport),Jamaica,2013,0.77
Taxes on Transport (excluding fuel for transport),Jamaica,2014,0.78
Taxes on Transport (excluding fuel for transport),Jamaica,2015,0.78
Taxes on Transport (excluding fuel for transport),Jamaica,2016,0.89
Taxes on Transport (excluding fuel for transport),Jamaica,2017,1.18
Taxes on Transport (excluding fuel for transport),Jamaica,2018,1.21
Taxes on Transport (excluding fuel for transport),Jamaica,2019,1.27
Taxes on Transport (excluding fuel for transport),Jamaica,2020,0.69
Environmental Taxes,Japan,1995,1.62
Environmental Taxes,Japan,1996,1.64
Environmental Taxes,Japan,1997,1.6
Environmental Taxes,Japan,1998,1.62
Environmental Taxes,Japan,1999,1.67
Environmental Taxes,Japan,2000,1.65
Environmental Taxes,Japan,2001,1.66
Environmental Taxes,Japan,2002,1.68
Environmental Taxes,Japan,2003,1.68
Environmental Taxes,Japan,2004,1.66
Environmental Taxes,Japan,2005,1.66
Environmental Taxes,Japan,2006,1.63
Environmental Taxes,Japan,2007,1.6
Environmental Taxes,Japan,2008,1.53
Environmental Taxes,Japan,2009,1.6
Environmental Taxes,Japan,2010,1.52
Environmental Taxes,Japan,2011,1.52
Environmental Taxes,Japan,2012,1.5
Environmental Taxes,Japan,2013,1.46
Environmental Taxes,Japan,2014,1.39
Environmental Taxes,Japan,2015,1.35
Environmental Taxes,Japan,2016,1.35
Environmental Taxes,Japan,2017,1.33
Environmental Taxes,Japan,2018,1.32
Environmental Taxes,Japan,2019,1.28
Environmental Taxes,Japan,2020,1.25
Taxes on Energy (including fuel for transport),Japan,1995,0.97
Taxes on Energy (including fuel for transport),Japan,1996,0.97
Taxes on Energy (including fuel for transport),Japan,1997,0.95
Taxes on Energy (including fuel for transport),Japan,1998,0.97
Taxes on Energy (including fuel for transport),Japan,1999,1
Taxes on Energy (including fuel for transport),Japan,2000,0.98
Taxes on Energy (including fuel for transport),Japan,2001,0.99
Taxes on Energy (including fuel for transport),Japan,2002,1
Taxes on Energy (including fuel for transport),Japan,2003,1.01
Taxes on Energy (including fuel for transport),Japan,2004,1
Taxes on Energy (including fuel for transport),Japan,2005,0.99
Taxes on Energy (including fuel for transport),Japan,2006,0.98
Taxes on Energy (including fuel for transport),Japan,2007,0.96
Taxes on Energy (including fuel for transport),Japan,2008,0.9
Taxes on Energy (including fuel for transport),Japan,2009,0.98
Taxes on Energy (including fuel for transport),Japan,2010,0.97
Taxes on Energy (including fuel for transport),Japan,2011,0.96
Taxes on Energy (including fuel for transport),Japan,2012,0.96
Taxes on Energy (including fuel for transport),Japan,2013,0.95
Taxes on Energy (including fuel for transport),Japan,2014,0.91
Taxes on Energy (including fuel for transport),Japan,2015,0.87
Taxes on Energy (including fuel for transport),Japan,2016,0.87
Taxes on Energy (including fuel for transport),Japan,2017,0.85
Taxes on Energy (including fuel for transport),Japan,2018,0.84
Taxes on Energy (including fuel for transport),Japan,2019,0.81
Taxes on Energy (including fuel for transport),Japan,2020,0.76
Taxes on Pollution,Japan,1995,0.01
Taxes on Pollution,Japan,1996,0.01
Taxes on Pollution,Japan,1997,0.01
Taxes on Pollution,Japan,1998,0.01
Taxes on Pollution,Japan,1999,0.01
Taxes on Pollution,Japan,2000,0.01
Taxes on Pollution,Japan,2001,0.01
Taxes on Pollution,Japan,2002,0.01
Taxes on Pollution,Japan,2003,0.01
Taxes on Pollution,Japan,2004,0.01
Taxes on Pollution,Japan,2005,0.01
Taxes on Pollution,Japan,2006,0.01
Taxes on Pollution,Japan,2007,0.01
Taxes on Pollution,Japan,2008,0.01
Taxes on Pollution,Japan,2009,0.01
Taxes on Pollution,Japan,2010,0.01
Taxes on Pollution,Japan,2011,0.01
Taxes on Pollution,Japan,2012,0.01
Taxes on Pollution,Japan,2013,0.01
Taxes on Pollution,Japan,2014,0.01
Taxes on Pollution,Japan,2015,0.01
Taxes on Pollution,Japan,2016,0.01
Taxes on Pollution,Japan,2017,0.01
Taxes on Pollution,Japan,2018,0.01
Taxes on Pollution,Japan,2019,0.01
Taxes on Pollution,Japan,2020,0.01
Taxes on Resources,Japan,1995,0
Taxes on Resources,Japan,1996,0
Taxes on Resources,Japan,1997,0
Taxes on Resources,Japan,1998,0
Taxes on Resources,Japan,1999,0
Taxes on Resources,Japan,2000,0
Taxes on Resources,Japan,2001,0
Taxes on Resources,Japan,2002,0
Taxes on Resources,Japan,2003,0
Taxes on Resources,Japan,2004,0
Taxes on Resources,Japan,2005,0
Taxes on Resources,Japan,2006,0
Taxes on Resources,Japan,2007,0
Taxes on Resources,Japan,2008,0
Taxes on Resources,Japan,2009,0
Taxes on Resources,Japan,2010,0
Taxes on Resources,Japan,2011,0
Taxes on Resources,Japan,2012,0
Taxes on Resources,Japan,2013,0
Taxes on Resources,Japan,2014,0
Taxes on Resources,Japan,2015,0
Taxes on Resources,Japan,2016,0
Taxes on Resources,Japan,2017,0
Taxes on Resources,Japan,2018,0
Taxes on Resources,Japan,2019,0
Taxes on Resources,Japan,2020,0
Taxes on Transport (excluding fuel for transport),Japan,1995,0.64
Taxes on Transport (excluding fuel for transport),Japan,1996,0.66
Taxes on Transport (excluding fuel for transport),Japan,1997,0.64
Taxes on Transport (excluding fuel for transport),Japan,1998,0.64
Taxes on Transport (excluding fuel for transport),Japan,1999,0.66
Taxes on Transport (excluding fuel for transport),Japan,2000,0.65
Taxes on Transport (excluding fuel for transport),Japan,2001,0.66
Taxes on Transport (excluding fuel for transport),Japan,2002,0.66
Taxes on Transport (excluding fuel for transport),Japan,2003,0.67
Taxes on Transport (excluding fuel for transport),Japan,2004,0.65
Taxes on Transport (excluding fuel for transport),Japan,2005,0.66
Taxes on Transport (excluding fuel for transport),Japan,2006,0.64
Taxes on Transport (excluding fuel for transport),Japan,2007,0.63
Taxes on Transport (excluding fuel for transport),Japan,2008,0.62
Taxes on Transport (excluding fuel for transport),Japan,2009,0.61
Taxes on Transport (excluding fuel for transport),Japan,2010,0.54
Taxes on Transport (excluding fuel for transport),Japan,2011,0.54
Taxes on Transport (excluding fuel for transport),Japan,2012,0.53
Taxes on Transport (excluding fuel for transport),Japan,2013,0.51
Taxes on Transport (excluding fuel for transport),Japan,2014,0.48
Taxes on Transport (excluding fuel for transport),Japan,2015,0.47
Taxes on Transport (excluding fuel for transport),Japan,2016,0.47
Taxes on Transport (excluding fuel for transport),Japan,2017,0.47
